Accentors,Prunella,modularis
Pipits and wagtails,Motacilla,flava
Plovers,Charadrius,dubius
Plovers,Charadrius,hiaticula
Plovers,Pluvialis,squatarola
"Rails, crakes and coots",Crex,crex
"Rails, crakes and coots",Rallus,aquaticus
"Sandpipers, snipes and phalaropes",Actitis,hypoleucos
"Sandpipers, snipes and phalaropes",Arenaria,interpres
"Sandpipers, snipes and phalaropes",Calidris,alba
"Sandpipers, snipes and phalaropes",Calidris,maritima
"Sandpipers, snipes and phalaropes",Limosa,lapponica
"Sandpipers, snipes and phalaropes",Limosa,limosa
"Sandpipers, snipes and phalaropes",Tringa,nebularia
Skuas,Stercorarius,parasiticus
Skuas,Stercorarius,skua
Thrushes,Turdus,torquatus
Tits,Lophophanes,cristatus
Tits,Poecile,montanus
Tits,Poecile,palustris
Warblers,Cettia,cetti
Warblers,Locustella,naevia
Warblers,Phylloscopus,sibilatrix
Warblers,Sylvia,undata
Waxwings,Bombycilla,garrulus
Woodpeckers,Dendrocopos,minor
Woodpeckers,Picus,viridis
Auks,Alle,alle
Buntings,Calcarius,lapponicus
Chats,Luscinia,svecica
Chats,Phoenicurus,ochruros
Cranes,Grus,grus
Divers,Gavia,arctica
"Ducks, geese and swans",Anas,querquedula
"Ducks, geese and swans",Anser,caerulescens
"Ducks, geese and swans",Anser,fabalis
"Ducks, geese and swans",Anser,serrirostris
"Ducks, geese and swans",Mergus,albellus
"Ducks, geese and swans",Netta,rufina
"Ducks, geese and swans",Oxyura,jamaicensis
Finches,Acanthis,flammea
Finches,Carpodacus,erythrinus
Finches,Loxia,pytyopsittacus
Finches,Serinus,serinus
Grebes,Podiceps,auritus
Grebes,Podiceps,grisegena
Grebes,Podiceps,nigricollis
Grouse,Tetrao,urogallus
Gulls and terns,Chlidonias,niger
Gulls and terns,Hydrocoloeus,minutus
Gulls and terns,Larus,glaucoides
Gulls and terns,Larus,hyperboreus
Gulls and terns,Larus,michahellis
Gulls and terns,Sterna,dougallii
"Herons, storks and ibises",Ardea,alba
"Herons, storks and ibises",Botaurus,stellaris
"Herons, storks and ibises",Bubulcus,ibis
"Herons, storks and ibises",Platalea,leucorodia
Hoopoe,Upupa,epops
"Kites, hawks and eagles",Buteo,lagopus
"Kites, hawks and eagles",Circus,pygargus
"Kites, hawks and eagles",Haliaeetus,albicilla
"Kites, hawks and eagles",Pernis,apivorus
Larks,Eremophila,alpestris
Orioles,Oriolus,oriolus
Osprey,Pandion,haliaetus
Petrels and shearwaters,Puffinus,gravis
Petrels and shearwaters,Puffinus,griseus
